leg,time,lat,lng,tickLead,tickRace,distance
0,2013-12-29T03:49:42Z,-33.35605000,147.93316699,2597.0,2597.0,153.174
0,2013-12-29T03:49:52Z,-33.35698299,147.93288300,2607.0,2607.0,153.278
1,2013-12-29T03:50:02Z,-33.35824999,147.93240000,2617.0,2617.0,153.421
1,2013-12-29T03:50:12Z,-33.35911699,147.93173300,2627.0,2627.0,153.52
1,2013-12-29T03:50:22Z,-33.35965000,147.93093300,2637.0,2637.0,153.583
1,2013-12-29T03:50:32Z,-33.36019999,147.92991699,2647.0,2647.0,153.648
1,2013-12-29T03:50:42Z,-33.36078299,147.92903300,2657.0,2657.0,153.716
1,2013-12-29T03:50:52Z,-33.36143299,147.92808299,2667.0,2667.0,153.793
1,2013-12-29T03:51:02Z,-33.36213300,147.92743300,2677.0,2677.0,153.873
1,2013-12-29T03:51:12Z,-33.36286700,147.92746700,2687.0,2687.0,153.955
1,2013-12-29T03:51:22Z,-33.36378299,147.92791700,2697.0,2697.0,154.054
1,2013-12-29T03:51:32Z,-33.36469999,147.92888300,2707.0,2707.0,154.152
1,2013-12-29T03:51:42Z,-33.36533299,147.93023299,2717.0,2717.0,154.217
1,2013-12-29T03:51:52Z,-33.36585000,147.93174999,2727.0,2727.0,154.268
1,2013-12-29T03:52:02Z,-33.36616699,147.93356700,2737.0,2737.0,154.296
1,2013-12-29T03:52:12Z,-33.36681699,147.93476699,2747.0,2747.0,154.363
1,2013-12-29T03:52:22Z,-33.36764999,147.93463299,2757.0,2757.0,154.456
1,2013-12-29T03:52:32Z,-33.36843300,147.93399999,2767.0,2767.0,154.546
1,2013-12-29T03:52:42Z,-33.36883300,147.93276700,2777.0,2777.0,154.595
1,2013-12-29T03:52:52Z,-33.36880000,147.93125000,2787.0,2787.0,154.598
1,2013-12-29T03:53:02Z,-33.36869999,147.92958300,2797.0,2797.0,154.594
1,2013-12-29T03:53:12Z,-33.36806700,147.92773299,2807.0,2807.0,154.531
1,2013-12-29T03:53:22Z,-33.36823299,147.92668299,2817.0,2817.0,154.554
1,2013-12-29T03:53:32Z,-33.36826700,147.92795000,2827.0,2827.0,154.552
1,2013-12-29T03:53:42Z,-33.36726699,147.92939999,2837.0,2837.0,154.435
1,2013-12-29T03:53:52Z,-33.36641699,147.93088299,2847.0,2847.0,154.335
1,2013-12-29T03:54:02Z,-33.36476700,147.93163300,2857.0,2857.0,154.148
1,2013-12-29T03:54:12Z,-33.36333299,147.93113299,2867.0,2867.0,153.991
1,2013-12-29T03:54:22Z,-33.36251699,147.93000000,2877.0,2877.0,153.905
1,2013-12-29T03:54:32Z,-33.36090000,147.93029999,2887.0,2887.0,153.724
1,2013-12-29T03:54:42Z,-33.36050000,147.93218300,2897.0,2897.0,153.672
1,2013-12-29T03:54:52Z,-33.36063299,147.93223299,2907.0,2907.0,153.686
1,2013-12-29T03:55:03Z,-33.36005000,147.93333300,2918.0,2918.0,153.617
1,2013-12-29T03:55:13Z,-33.35978300,147.93254999,2928.0,2928.0,153.591
1,2013-12-29T03:55:23Z,-33.35965000,147.93326700,2938.0,2938.0,153.573
1,2013-12-29T03:55:33Z,-33.35858300,147.93358299,2948.0,2948.0,153.453
1,2013-12-29T03:55:43Z,-33.35841700,147.93334999,2958.0,2958.0,153.436
1,2013-12-29T03:55:53Z,-33.35818299,147.93416700,2968.0,2968.0,153.407
1,2013-12-29T03:56:03Z,-33.35748300,147.93485000,2978.0,2978.0,153.326
1,2013-12-29T03:56:13Z,-33.35641700,147.93498299,2988.0,2988.0,153.207
1,2013-12-29T03:56:23Z,-33.35643300,147.93473299,2998.0,2998.0,153.21
1,2013-12-29T03:56:33Z,-33.35569999,147.93578299,3008.0,3008.0,153.124
1,2013-12-29T03:56:43Z,-33.35553300,147.93506700,3018.0,3018.0,153.109
1,2013-12-29T03:56:53Z,-33.35393299,147.93648300,3028.0,3028.0,152.925
1,2013-12-29T03:57:03Z,-33.35328299,147.93629999,3038.0,3038.0,152.854
1,2013-12-29T03:57:13Z,-33.35301700,147.93651700,3048.0,3048.0,152.823
1,2013-12-29T03:57:23Z,-33.35248299,147.93703300,3058.0,3058.0,152.762
1,2013-12-29T03:57:33Z,-33.35114999,147.93729999,3068.0,3068.0,152.613
1,2013-12-29T03:57:43Z,-33.35076699,147.93708300,3078.0,3078.0,152.571
1,2013-12-29T03:57:53Z,-33.35046700,147.93746699,3088.0,3088.0,152.536
1,2013-12-29T03:58:03Z,-33.34973300,147.93843300,3098.0,3098.0,152.451
1,2013-12-29T03:58:13Z,-33.34881699,147.93799999,3108.0,3108.0,152.351
1,2013-12-29T03:58:23Z,-33.34890000,147.93844999,3118.0,3118.0,152.359
1,2013-12-29T03:58:33Z,-33.34779999,147.93968300,3128.0,3128.0,152.232
1,2013-12-29T03:58:44Z,-33.34729999,147.93924999,3139.0,3139.0,152.178
1,2013-12-29T03:58:54Z,-33.34698300,147.94055000,3149.0,3149.0,152.138
1,2013-12-29T03:59:04Z,-33.34588300,147.94061700,3159.0,3159.0,152.016
1,2013-12-29T03:59:14Z,-33.34604999,147.94126700,3169.0,3169.0,152.032
1,2013-12-29T03:59:24Z,-33.34499999,147.94211699,3179.0,3179.0,151.912
1,2013-12-29T03:59:34Z,-33.34413299,147.94266700,3189.0,3189.0,151.814
1,2013-12-29T03:59:44Z,-33.34426700,147.94304999,3199.0,3199.0,151.827
1,2013-12-29T03:59:54Z,-33.34308300,147.94339999,3209.0,3209.0,151.695
1,2013-12-29T04:00:04Z,-33.34321700,147.94386700,3219.0,3219.0,151.708
1,2013-12-29T04:00:14Z,-33.34174999,147.94486699,3229.0,3229.0,151.541
1,2013-12-29T04:00:24Z,-33.34024999,147.94548299,3239.0,3239.0,151.373
