leg,time,lat,lng,tickLead,tickRace,distance
0,2013-12-31T02:29:53Z,-33.35563300,147.93423300,-2709.0,-2709.0,156.674
0,2013-12-31T02:29:58Z,-33.35606700,147.93366700,-2704.0,-2704.0,156.745
0,2013-12-31T02:30:03Z,-33.35661700,147.93310000,-2699.0,-2699.0,156.826
1,2013-12-31T02:30:08Z,-33.35726700,147.93268300,-2694.0,-2694.0,156.903
1,2013-12-31T02:30:13Z,-33.35788300,147.93241700,-2689.0,-2689.0,156.968
1,2013-12-31T02:30:18Z,-33.35845000,147.93226700,-2684.0,-2684.0,157.021
1,2013-12-31T02:30:23Z,-33.35903300,147.93193300,-2679.0,-2679.0,157.088
1,2013-12-31T02:30:28Z,-33.35963300,147.93193300,-2674.0,-2674.0,157.133
1,2013-12-31T02:30:33Z,-33.36028300,147.93191700,-2669.0,-2669.0,157.184
1,2013-12-31T02:30:38Z,-33.36088300,147.93195000,-2664.0,-2664.0,157.227
1,2013-12-31T02:30:43Z,-33.36140000,147.93196700,-2659.0,-2659.0,157.265
1,2013-12-31T02:30:48Z,-33.36195000,147.93206700,-2654.0,-2654.0,157.3
1,2013-12-31T02:30:53Z,-33.36245000,147.93220000,-2649.0,-2649.0,157.329
1,2013-12-31T02:30:58Z,-33.36296700,147.93225000,-2644.0,-2644.0,157.365
1,2013-12-31T02:31:03Z,-33.36355000,147.93231700,-2639.0,-2639.0,157.405
1,2013-12-31T02:31:08Z,-33.36403300,147.93213300,-2634.0,-2634.0,157.454
1,2013-12-31T02:31:13Z,-33.36445000,147.93193300,-2629.0,-2629.0,157.499
1,2013-12-31T02:31:18Z,-33.36485000,147.93160000,-2624.0,-2624.0,157.552
1,2013-12-31T02:31:23Z,-33.36585000,147.93123300,-2619.0,-2619.0,157.653
1,2013-12-31T02:31:28Z,-33.36585000,147.93065000,-2614.0,-2614.0,157.693
1,2013-12-31T02:31:33Z,-33.36586700,147.93005000,-2609.0,-2609.0,157.735
1,2013-12-31T02:31:38Z,-33.36586700,147.92938300,-2604.0,-2604.0,157.78
1,2013-12-31T02:31:43Z,-33.36595000,147.92850000,-2599.0,-2599.0,157.846
1,2013-12-31T02:31:48Z,-33.36606700,147.92761700,-2594.0,-2594.0,157.915
1,2013-12-31T02:31:53Z,-33.36618300,147.92681700,-2589.0,-2589.0,157.978
1,2013-12-31T02:31:58Z,-33.36711700,147.92643300,-2584.0,-2584.0,158.075
1,2013-12-31T02:32:03Z,-33.36750000,147.92616700,-2579.0,-2579.0,158.122
1,2013-12-31T02:32:08Z,-33.36800000,147.92586700,-2574.0,-2574.0,158.18
1,2013-12-31T02:32:13Z,-33.36850000,147.92548300,-2569.0,-2569.0,158.244
1,2013-12-31T02:32:18Z,-33.36900000,147.92523300,-2564.0,-2564.0,158.299
1,2013-12-31T02:32:23Z,-33.36960000,147.92530000,-2559.0,-2559.0,158.34
1,2013-12-31T02:32:28Z,-33.37016700,147.92561700,-2554.0,-2554.0,158.362
1,2013-12-31T02:32:33Z,-33.37055000,147.92633300,-2549.0,-2549.0,158.343
1,2013-12-31T02:32:38Z,-33.37091700,147.92708300,-2544.0,-2544.0,158.32
1,2013-12-31T02:32:43Z,-33.37121700,147.92805000,-2539.0,-2539.0,158.278
1,2013-12-31T02:32:48Z,-33.37126700,147.92920000,-2534.0,-2534.0,158.204
1,2013-12-31T02:32:53Z,-33.37121700,147.93035000,-2529.0,-2529.0,158.123
1,2013-12-31T02:32:58Z,-33.37108300,147.93143300,-2524.0,-2524.0,158.04
1,2013-12-31T02:33:03Z,-33.37090000,147.93248300,-2519.0,-2519.0,157.955
1,2013-12-31T02:33:08Z,-33.37085000,147.93361700,-2514.0,-2514.0,157.875
1,2013-12-31T02:33:13Z,-33.37070000,147.93471700,-2509.0,-2509.0,157.789
1,2013-12-31T02:33:18Z,-33.37041700,147.93583300,-2504.0,-2504.0,157.693
1,2013-12-31T02:33:23Z,-33.37000000,147.93690000,-2499.0,-2499.0,157.589
1,2013-12-31T02:33:28Z,-33.36943300,147.93793300,-2494.0,-2494.0,157.476
1,2013-12-31T02:33:33Z,-33.36855000,147.93908300,-2489.0,-2489.0,157.331
1,2013-12-31T02:33:38Z,-33.36813300,147.93993300,-2484.0,-2484.0,157.242
1,2013-12-31T02:33:43Z,-33.36733300,147.94078300,-2479.0,-2479.0,157.124
1,2013-12-31T02:33:48Z,-33.36640000,147.94126700,-2474.0,-2474.0,157.019
1,2013-12-31T02:33:53Z,-33.36546700,147.94140000,-2469.0,-2469.0,156.939
1,2013-12-31T02:33:58Z,-33.36450000,147.94145000,-2464.0,-2464.0,156.861
1,2013-12-31T02:34:03Z,-33.36355000,147.94140000,-2459.0,-2459.0,156.792
1,2013-12-31T02:34:08Z,-33.36255000,147.94115000,-2454.0,-2454.0,156.732
1,2013-12-31T02:34:13Z,-33.36161700,147.94078300,-2449.0,-2449.0,156.685
