fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2013-12-29T01:51:06Z,-33.59822300,148.71540500,220.00,
2,,,,,2013-12-29T01:51:08Z,-33.59822300,148.71540500,223.00,
3,,,,,2013-12-29T01:51:10Z,-33.59822300,148.71540500,223.00,
4,,,,,2013-12-29T01:51:12Z,-33.59822300,148.71540500,222.00,
5,,,,,2013-12-29T01:51:14Z,-33.59822300,148.71540500,210.00,
6,,,,,2013-12-29T01:51:15Z,-33.59822300,148.71540500,217.00,
7,,,,,2013-12-29T01:51:17Z,-33.59822300,148.71540500,216.00,
8,,,,,2013-12-29T01:51:19Z,-33.59822300,148.71540500,220.00,
9,,,,,2013-12-29T01:51:21Z,-33.59822300,148.71540500,223.00,
10,,,,,2013-12-29T01:51:23Z,-33.59822300,148.71540500,222.00,
11,,,,,2013-12-29T01:51:25Z,-33.59822300,148.71540500,223.00,
12,,,,,2013-12-29T01:51:27Z,-33.59822300,148.71540500,223.00,
13,,,,,2013-12-29T01:51:29Z,-33.59822300,148.71540500,221.00,
14,,,,,2013-12-29T01:51:31Z,-33.59822300,148.71540500,221.00,
15,,,,,2013-12-29T01:51:33Z,-33.59822300,148.71540500,223.00,
16,,,,,2013-12-29T01:51:35Z,-33.59822300,148.71540500,223.00,
17,,,,,2013-12-29T01:51:37Z,-33.59822300,148.71540500,223.00,
18,,,,,2013-12-29T01:51:39Z,-33.59822300,148.71540500,223.00,
19,,,,,2013-12-29T01:51:41Z,-33.59822300,148.71540500,222.00,
20,,,,,2013-12-29T01:51:42Z,-33.59822300,148.71540500,222.00,
21,,,,,2013-12-29T01:51:44Z,-33.59822300,148.71540500,222.00,
22,,,,,2013-12-29T01:51:46Z,-33.59822300,148.71540500,222.00,
23,,,,,2013-12-29T01:51:48Z,-33.59822300,148.71540500,222.00,
24,,,,,2013-12-29T01:51:50Z,-33.59822300,148.71540500,222.00,
25,,,,,2013-12-29T01:51:52Z,-33.59822300,148.71540500,222.00,
26,,,,,2013-12-29T01:51:54Z,-33.59822300,148.71540500,222.00,
27,,,,,2013-12-29T01:51:56Z,-33.59822300,148.71540500,222.00,
28,,,,,2013-12-29T01:51:58Z,-33.59822300,148.71540500,222.00,
29,,,,,2013-12-29T01:52:00Z,-33.59822300,148.71540500,222.00,
30,,,,,2013-12-29T01:52:02Z,-33.59822300,148.71540500,222.00,
