fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2013-12-30T03:46:46Z,-33.35449700,147.93475400,240.00,
2,,,,,2013-12-30T03:47:21Z,-33.35449800,147.93475400,242.00,
3,,,,,2013-12-30T03:47:54Z,-33.35449800,147.93475400,242.00,
4,,,,,2013-12-30T03:48:15Z,-33.35450000,147.93475300,242.00,
5,,,,,2013-12-30T03:48:46Z,-33.35450300,147.93475100,242.00,
6,,,,,2013-12-30T03:49:03Z,-33.35450300,147.93475100,241.00,
7,,,,,2013-12-30T03:49:10Z,-33.35462200,147.93435800,241.00,
8,,,,,2013-12-30T03:49:11Z,-33.35466800,147.93424400,244.00,
9,,,,,2013-12-30T03:49:14Z,-33.35482700,147.93389800,249.00,
10,,,,,2013-12-30T03:49:15Z,-33.35488000,147.93378500,252.00,
11,,,,,2013-12-30T03:49:17Z,-33.35497800,147.93356600,255.00,
12,,,,,2013-12-30T03:49:18Z,-33.35502500,147.93345700,262.00,
13,,,,,2013-12-30T03:49:19Z,-33.35507800,147.93334900,265.00,
14,,,,,2013-12-30T03:49:20Z,-33.35513000,147.93323900,265.00,
15,,,,,2013-12-30T03:49:22Z,-33.35523500,147.93302100,273.00,
16,,,,,2013-12-30T03:49:24Z,-33.35532800,147.93279300,277.00,
17,,,,,2013-12-30T03:49:26Z,-33.35543600,147.93256100,283.00,
18,,,,,2013-12-30T03:49:27Z,-33.35548600,147.93243600,287.00,
19,,,,,2013-12-30T03:49:29Z,-33.35557900,147.93218300,292.00,
20,,,,,2013-12-30T03:49:30Z,-33.35562700,147.93205700,300.00,
21,,,,,2013-12-30T03:49:32Z,-33.35574100,147.93180700,301.00,
22,,,,,2013-12-30T03:49:33Z,-33.35580700,147.93167700,306.00,
23,,,,,2013-12-30T03:49:34Z,-33.35587100,147.93154700,310.00,
24,,,,,2013-12-30T03:49:36Z,-33.35601500,147.93129700,317.00,
25,,,,,2013-12-30T03:49:37Z,-33.35608100,147.93117100,320.00,
26,,,,,2013-12-30T03:49:38Z,-33.35614400,147.93104600,329.00,
27,,,,,2013-12-30T03:49:39Z,-33.35620800,147.93092900,337.00,
28,,,,,2013-12-30T03:49:40Z,-33.35627500,147.93081800,337.00,
29,,,,,2013-12-30T03:49:41Z,-33.35634500,147.93071200,338.00,
30,,,,,2013-12-30T03:49:45Z,-33.35654800,147.93026700,342.00,
31,,,,,2013-12-30T03:49:48Z,-33.35667800,147.92990400,348.00,
32,,,,,2013-12-30T03:49:51Z,-33.35679500,147.92954200,352.00,
33,,,,,2013-12-30T03:49:52Z,-33.35683100,147.92943000,352.00,
34,,,,,2013-12-30T03:49:53Z,-33.35686500,147.92931900,355.00,
35,,,,,2013-12-30T03:49:54Z,-33.35689600,147.92921300,359.00,
36,,,,,2013-12-30T03:49:56Z,-33.35696100,147.92900700,361.00,
37,,,,,2013-12-30T03:49:58Z,-33.35703800,147.92878700,366.00,
38,,,,,2013-12-30T03:50:01Z,-33.35718800,147.92843700,369.00,
39,,,,,2013-12-30T03:50:02Z,-33.35724600,147.92832700,372.00,
40,,,,,2013-12-30T03:50:03Z,-33.35730600,147.92822000,378.00,
41,,,,,2013-12-30T03:50:06Z,-33.35752200,147.92791300,378.00,
42,,,,,2013-12-30T03:50:08Z,-33.35768700,147.92772400,376.00,
43,,,,,2013-12-30T03:50:10Z,-33.35788400,147.92755300,381.00,
44,,,,,2013-12-30T03:50:11Z,-33.35798900,147.92747300,379.00,
45,,,,,2013-12-30T03:50:12Z,-33.35810000,147.92740200,379.00,
46,,,,,2013-12-30T03:50:14Z,-33.35834000,147.92729600,384.00,
47,,,,,2013-12-30T03:50:16Z,-33.35860500,147.92724600,388.00,
48,,,,,2013-12-30T03:50:17Z,-33.35874200,147.92722900,388.00,
49,,,,,2013-12-30T03:50:18Z,-33.35888300,147.92721100,389.00,
50,,,,,2013-12-30T03:50:20Z,-33.35917700,147.92718700,392.00,
51,,,,,2013-12-30T03:50:23Z,-33.35963200,147.92718000,395.00,
52,,,,,2013-12-30T03:50:24Z,-33.35978800,147.92719500,395.00,
53,,,,,2013-12-30T03:50:26Z,-33.36011100,147.92725100,402.00,
54,,,,,2013-12-30T03:50:27Z,-33.36027100,147.92728200,402.00,
55,,,,,2013-12-30T03:50:28Z,-33.36043100,147.92732500,405.00,
56,,,,,2013-12-30T03:50:29Z,-33.36059000,147.92737600,409.00,
57,,,,,2013-12-30T03:50:30Z,-33.36074500,147.92743200,409.00,
58,,,,,2013-12-30T03:50:31Z,-33.36089300,147.92749000,412.00,
59,,,,,2013-12-30T03:50:32Z,-33.36103900,147.92754500,420.00,
60,,,,,2013-12-30T03:50:34Z,-33.36132700,147.92766200,424.00,
61,,,,,2013-12-30T03:50:35Z,-33.36146400,147.92772100,429.00,
62,,,,,2013-12-30T03:50:37Z,-33.36174100,147.92784000,435.00,
63,,,,,2013-12-30T03:50:38Z,-33.36187700,147.92790600,439.00,
64,,,,,2013-12-30T03:50:40Z,-33.36213800,147.92805100,444.00,
65,,,,,2013-12-30T03:50:41Z,-33.36226700,147.92813000,448.00,
66,,,,,2013-12-30T03:50:43Z,-33.36251800,147.92830300,451.00,
67,,,,,2013-12-30T03:50:44Z,-33.36264100,147.92839700,456.00,
68,,,,,2013-12-30T03:50:45Z,-33.36276500,147.92849000,460.00,
69,,,,,2013-12-30T03:50:47Z,-33.36300900,147.92867200,465.00,
70,,,,,2013-12-30T03:50:48Z,-33.36312900,147.92876400,468.00,
71,,,,,2013-12-30T03:50:50Z,-33.36336100,147.92895400,475.00,
72,,,,,2013-12-30T03:50:51Z,-33.36348200,147.92905000,476.00,
73,,,,,2013-12-30T03:50:52Z,-33.36360200,147.92914600,486.00,
74,,,,,2013-12-30T03:50:53Z,-33.36372100,147.92925100,490.00,
75,,,,,2013-12-30T03:50:55Z,-33.36395400,147.92947900,494.00,
76,,,,,2013-12-30T03:50:56Z,-33.36407200,147.92959700,500.00,
77,,,,,2013-12-30T03:50:58Z,-33.36431400,147.92984100,503.00,
78,,,,,2013-12-30T03:51:00Z,-33.36455800,147.93008500,509.00,
79,,,,,2013-12-30T03:51:01Z,-33.36468000,147.93020900,514.00,
80,,,,,2013-12-30T03:51:04Z,-33.36503400,147.93059900,521.00,
81,,,,,2013-12-30T03:51:06Z,-33.36527200,147.93086700,526.00,
82,,,,,2013-12-30T03:51:09Z,-33.36562000,147.93127500,531.00,
83,,,,,2013-12-30T03:51:11Z,-33.36583200,147.93154900,536.00,
84,,,,,2013-12-30T03:51:12Z,-33.36593200,147.93169200,539.00,
85,,,,,2013-12-30T03:51:13Z,-33.36602900,147.93184000,543.00,
86,,,,,2013-12-30T03:51:14Z,-33.36612300,147.93199700,543.00,
87,,,,,2013-12-30T03:51:17Z,-33.36640600,147.93246500,550.00,
88,,,,,2013-12-30T03:51:19Z,-33.36658600,147.93279000,551.00,
89,,,,,2013-12-30T03:51:21Z,-33.36674600,147.93314300,558.00,
90,,,,,2013-12-30T03:51:24Z,-33.36694500,147.93371100,563.00,
91,,,,,2013-12-30T03:51:27Z,-33.36709600,147.93433900,568.00,
92,,,,,2013-12-30T03:51:29Z,-33.36718800,147.93477500,572.00,
93,,,,,2013-12-30T03:51:31Z,-33.36728400,147.93521400,576.00,
94,,,,,2013-12-30T03:51:32Z,-33.36733300,147.93543700,580.00,
95,,,,,2013-12-30T03:51:34Z,-33.36742100,147.93589100,583.00,
96,,,,,2013-12-30T03:51:36Z,-33.36749200,147.93635400,588.00,
97,,,,,2013-12-30T03:51:38Z,-33.36753700,147.93682600,594.00,
98,,,,,2013-12-30T03:51:40Z,-33.36754500,147.93731400,597.00,
99,,,,,2013-12-30T03:51:41Z,-33.36753200,147.93756300,601.00,
100,,,,,2013-12-30T03:51:42Z,-33.36750900,147.93781300,606.00,
101,,,,,2013-12-30T03:51:46Z,-33.36738300,147.93881900,614.00,
102,,,,,2013-12-30T03:51:48Z,-33.36732200,147.93930500,619.00,
103,,,,,2013-12-30T03:51:49Z,-33.36728900,147.93953800,624.00,
104,,,,,2013-12-30T03:51:50Z,-33.36725200,147.93976600,628.00,
105,,,,,2013-12-30T03:51:51Z,-33.36720700,147.93998800,632.00,
106,,,,,2013-12-30T03:51:52Z,-33.36715500,147.94021000,637.00,
107,,,,,2013-12-30T03:51:53Z,-33.36709800,147.94043100,643.00,
108,,,,,2013-12-30T03:51:54Z,-33.36703600,147.94065700,649.00,
109,,,,,2013-12-30T03:51:55Z,-33.36696900,147.94087900,651.00,
110,,,,,2013-12-30T03:51:56Z,-33.36690000,147.94109900,658.00,
111,,,,,2013-12-30T03:51:57Z,-33.36683600,147.94131900,666.00,
112,,,,,2013-12-30T03:51:58Z,-33.36677900,147.94154100,671.00,
113,,,,,2013-12-30T03:51:59Z,-33.36672600,147.94176800,682.00,
114,,,,,2013-12-30T03:52:00Z,-33.36666800,147.94199500,690.00,
115,,,,,2013-12-30T03:52:01Z,-33.36659900,147.94222500,696.00,
116,,,,,2013-12-30T03:52:03Z,-33.36642000,147.94266000,708.00,
