fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2014-01-01T01:46:31Z,-33.35615500,147.93397300,249.00,
2,,,,,2014-01-01T01:46:35Z,-33.35621100,147.93443100,249.00,
3,,,,,2014-01-01T01:46:39Z,-33.35624600,147.93443800,249.00,
4,,,,,2014-01-01T01:46:43Z,-33.35629900,147.93447400,248.00,
5,,,,,2014-01-01T01:46:47Z,-33.35599000,147.93455000,249.00,
6,,,,,2014-01-01T01:46:51Z,-33.35558000,147.93461600,260.00,
7,,,,,2014-01-01T01:46:55Z,-33.35513300,147.93461900,267.00,
8,,,,,2014-01-01T01:46:59Z,-33.35457500,147.93458500,270.00,
9,,,,,2014-01-01T01:47:03Z,-33.35399100,147.93460900,284.00,
10,,,,,2014-01-01T01:47:07Z,-33.35353400,147.93471500,299.00,
11,,,,,2014-01-01T01:47:11Z,-33.35291800,147.93471500,313.00,
12,,,,,2014-01-01T01:47:15Z,-33.35244400,147.93477400,326.00,
13,,,,,2014-01-01T01:47:19Z,-33.35195700,147.93493300,338.00,
14,,,,,2014-01-01T01:47:23Z,-33.35146800,147.93508100,353.00,
15,,,,,2014-01-01T01:47:27Z,-33.35101900,147.93524000,376.00,
16,,,,,2014-01-01T01:47:31Z,-33.35064300,147.93542400,402.00,
17,,,,,2014-01-01T01:47:35Z,-33.35025200,147.93564600,425.00,
18,,,,,2014-01-01T01:47:39Z,-33.34987600,147.93590600,442.00,
19,,,,,2014-01-01T01:47:43Z,-33.34949500,147.93614600,455.00,
20,,,,,2014-01-01T01:47:47Z,-33.34912400,147.93644100,468.00,
21,,,,,2014-01-01T01:47:51Z,-33.34874300,147.93674400,490.00,
22,,,,,2014-01-01T01:47:55Z,-33.34837800,147.93700400,509.00,
23,,,,,2014-01-01T01:47:59Z,-33.34798600,147.93722000,519.00,
24,,,,,2014-01-01T01:48:03Z,-33.34752100,147.93742600,525.00,
25,,,,,2014-01-01T01:48:07Z,-33.34705800,147.93764200,536.00,
26,,,,,2014-01-01T01:48:11Z,-33.34662000,147.93786500,552.00,
27,,,,,2014-01-01T01:48:15Z,-33.34619000,147.93810700,559.00,
28,,,,,2014-01-01T01:48:19Z,-33.34576100,147.93823800,568.00,
29,,,,,2014-01-01T01:48:23Z,-33.34540500,147.93826800,589.00,
30,,,,,2014-01-01T01:48:27Z,-33.34502800,147.93822900,596.00,
31,,,,,2014-01-01T01:48:31Z,-33.34461000,147.93809600,600.00,
32,,,,,2014-01-01T01:48:35Z,-33.34423300,147.93790400,611.00,
33,,,,,2014-01-01T01:48:39Z,-33.34383800,147.93759600,627.00,
34,,,,,2014-01-01T01:48:43Z,-33.34347300,147.93718700,639.00,
35,,,,,2014-01-01T01:48:47Z,-33.34317300,147.93674100,657.00,
36,,,,,2014-01-01T01:48:51Z,-33.34294100,147.93631900,680.00,
37,,,,,2014-01-01T01:48:55Z,-33.34273200,147.93599200,691.00,
38,,,,,2014-01-01T01:48:59Z,-33.34253000,147.93550600,693.00,
39,,,,,2014-01-01T01:49:03Z,-33.34249900,147.93493500,701.00,
40,,,,,2014-01-01T01:49:07Z,-33.34260600,147.93424900,705.00,
41,,,,,2014-01-01T01:49:11Z,-33.34297600,147.93356500,709.00,
42,,,,,2014-01-01T01:49:15Z,-33.34357100,147.93298700,713.00,
43,,,,,2014-01-01T01:49:19Z,-33.34436000,147.93259600,713.00,
44,,,,,2014-01-01T01:49:23Z,-33.34520700,147.93243500,717.00,
45,,,,,2014-01-01T01:49:27Z,-33.34609200,147.93239600,724.00,
46,,,,,2014-01-01T01:49:31Z,-33.34698300,147.93240400,739.00,
47,,,,,2014-01-01T01:49:35Z,-33.34789800,147.93247300,747.00,
48,,,,,2014-01-01T01:49:39Z,-33.34879900,147.93262200,751.00,
49,,,,,2014-01-01T01:49:43Z,-33.34965000,147.93287900,755.00,
50,,,,,2014-01-01T01:49:47Z,-33.35042800,147.93320100,766.00,
51,,,,,2014-01-01T01:49:51Z,-33.35124400,147.93359500,775.00,
52,,,,,2014-01-01T01:49:55Z,-33.35206600,147.93414600,782.00,
53,,,,,2014-01-01T01:49:59Z,-33.35280800,147.93478300,790.00,
54,,,,,2014-01-01T01:50:03Z,-33.35343500,147.93549700,800.00,
55,,,,,2014-01-01T01:50:07Z,-33.35391600,147.93625900,815.00,
56,,,,,2014-01-01T01:50:11Z,-33.35429100,147.93713300,824.00,
57,,,,,2014-01-01T01:50:15Z,-33.35458300,147.93800700,837.00,
58,,,,,2014-01-01T01:50:19Z,-33.35503200,147.93865400,841.00,
59,,,,,2014-01-01T01:50:23Z,-33.35568700,147.93906400,837.00,
60,,,,,2014-01-01T01:50:27Z,-33.35643600,147.93929600,832.00,
61,,,,,2014-01-01T01:50:31Z,-33.35717000,147.93950000,831.00,
62,,,,,2014-01-01T01:50:35Z,-33.35787700,147.93979700,832.00,
63,,,,,2014-01-01T01:50:39Z,-33.35860300,147.94008100,825.00,
64,,,,,2014-01-01T01:50:43Z,-33.35936900,147.94019500,819.00,
65,,,,,2014-01-01T01:50:47Z,-33.35997500,147.93977700,822.00,
66,,,,,2014-01-01T01:50:51Z,-33.36052000,147.93954400,829.00,
67,,,,,2014-01-01T01:50:55Z,-33.36103900,147.93992300,832.00,
68,,,,,2014-01-01T01:50:59Z,-33.36098700,147.94055000,832.00,
69,,,,,2014-01-01T01:51:03Z,-33.36065100,147.94061800,834.00,
70,,,,,2014-01-01T01:51:07Z,-33.36066900,147.94012700,836.00,
71,,,,,2014-01-01T01:51:11Z,-33.36116100,147.93985200,840.00,
72,,,,,2014-01-01T01:51:15Z,-33.36179200,147.94009300,841.00,
73,,,,,2014-01-01T01:51:19Z,-33.36214300,147.94072700,843.00,
74,,,,,2014-01-01T01:51:23Z,-33.36223900,147.94146600,851.00,
75,,,,,2014-01-01T01:51:27Z,-33.36222000,147.94215400,855.00,
76,,,,,2014-01-01T01:51:31Z,-33.36197300,147.94259700,857.00,
77,,,,,2014-01-01T01:51:35Z,-33.36173500,147.94239600,858.00,
78,,,,,2014-01-01T01:51:39Z,-33.36190100,147.94193700,856.00,
79,,,,,2014-01-01T01:51:43Z,-33.36239000,147.94152700,852.00,
80,,,,,2014-01-01T01:51:47Z,-33.36295400,147.94120600,849.00,
81,,,,,2014-01-01T01:51:51Z,-33.36364200,147.94106100,852.00,
82,,,,,2014-01-01T01:51:55Z,-33.36429700,147.94133700,859.00,
83,,,,,2014-01-01T01:51:59Z,-33.36461500,147.94209100,866.00,
84,,,,,2014-01-01T01:52:03Z,-33.36429300,147.94235500,873.00,
85,,,,,2014-01-01T01:52:07Z,-33.36440100,147.94190600,879.00,
86,,,,,2014-01-01T01:52:11Z,-33.36495400,147.94170300,885.00,
87,,,,,2014-01-01T01:52:15Z,-33.36564200,147.94193100,893.00,
88,,,,,2014-01-01T01:52:19Z,-33.36575700,147.94262500,902.00,
89,,,,,2014-01-01T01:52:23Z,-33.36542600,147.94262400,915.00,
90,,,,,2014-01-01T01:52:27Z,-33.36564000,147.94220200,923.00,
91,,,,,2014-01-01T01:52:31Z,-33.36622400,147.94205200,927.00,
92,,,,,2014-01-01T01:52:35Z,-33.36685000,147.94248900,932.00,
93,,,,,2014-01-01T01:52:39Z,-33.36691200,147.94320600,945.00,
94,,,,,2014-01-01T01:52:43Z,-33.36656800,147.94345100,960.00,
95,,,,,2014-01-01T01:52:47Z,-33.36652100,147.94309900,965.00,
96,,,,,2014-01-01T01:52:51Z,-33.36705700,147.94289200,971.00,
97,,,,,2014-01-01T01:52:55Z,-33.36755300,147.94338500,977.00,
98,,,,,2014-01-01T01:52:59Z,-33.36738600,147.94396400,992.00,
99,,,,,2014-01-01T01:53:03Z,-33.36700900,147.94397800,1000.00,
100,,,,,2014-01-01T01:53:07Z,-33.36704900,147.94338800,1006.00,
101,,,,,2014-01-01T01:53:11Z,-33.36772400,147.94321200,1010.00,
102,,,,,2014-01-01T01:53:15Z,-33.36825900,147.94369500,1012.00,
103,,,,,2014-01-01T01:53:19Z,-33.36823200,147.94435800,1017.00,
104,,,,,2014-01-01T01:53:23Z,-33.36786600,147.94471600,1023.00,
105,,,,,2014-01-01T01:53:27Z,-33.36755000,147.94461800,1029.00,
106,,,,,2014-01-01T01:53:31Z,-33.36802100,147.94420500,1028.00,
107,,,,,2014-01-01T01:53:35Z,-33.36867100,147.94455200,1030.00,
108,,,,,2014-01-01T01:53:39Z,-33.36879100,147.94511500,1036.00,
109,,,,,2014-01-01T01:53:43Z,-33.36849600,147.94508800,1038.00,
110,,,,,2014-01-01T01:53:47Z,-33.36858000,147.94462400,1044.00,
111,,,,,2014-01-01T01:53:51Z,-33.36918200,147.94444700,1040.00,
112,,,,,2014-01-01T01:53:55Z,-33.36997400,147.94486300,1039.00,
113,,,,,2014-01-01T01:53:59Z,-33.37074400,147.94516700,1045.00,
114,,,,,2014-01-01T01:54:03Z,-33.37133800,147.94566600,1053.00,
115,,,,,2014-01-01T01:54:07Z,-33.37131700,147.94634100,1057.00,
116,,,,,2014-01-01T01:54:11Z,-33.37099500,147.94640700,1065.00,
117,,,,,2014-01-01T01:54:15Z,-33.37111100,147.94596900,1061.00,
118,,,,,2014-01-01T01:54:19Z,-33.37180200,147.94596900,1067.00,
119,,,,,2014-01-01T01:54:23Z,-33.37210100,147.94662900,1073.00,
120,,,,,2014-01-01T01:54:27Z,-33.37187100,147.94683900,1081.00,
121,,,,,2014-01-01T01:54:31Z,-33.37177700,147.94644300,1082.00,
122,,,,,2014-01-01T01:54:35Z,-33.37205600,147.94596200,1090.00,
123,,,,,2014-01-01T01:54:39Z,-33.37268800,147.94597600,1095.00,
124,,,,,2014-01-01T01:54:43Z,-33.37304000,147.94660400,1097.00,
125,,,,,2014-01-01T01:54:47Z,-33.37281100,147.94691700,1104.00,
126,,,,,2014-01-01T01:54:51Z,-33.37278600,147.94662200,1112.00,
127,,,,,2014-01-01T01:54:55Z,-33.37329400,147.94637200,1113.00,
128,,,,,2014-01-01T01:54:59Z,-33.37370700,147.94696300,1113.00,
129,,,,,2014-01-01T01:55:03Z,-33.37349800,147.94726400,1121.00,
130,,,,,2014-01-01T01:55:07Z,-33.37356400,147.94692600,1125.00,
131,,,,,2014-01-01T01:55:11Z,-33.37421900,147.94691200,1130.00,
132,,,,,2014-01-01T01:55:15Z,-33.37462000,147.94751500,1132.00,
133,,,,,2014-01-01T01:55:19Z,-33.37443900,147.94789700,1133.00,
134,,,,,2014-01-01T01:55:23Z,-33.37439400,147.94757500,1136.00,
135,,,,,2014-01-01T01:55:27Z,-33.37501900,147.94749000,1142.00,
136,,,,,2014-01-01T01:55:31Z,-33.37535800,147.94815800,1144.00,
137,,,,,2014-01-01T01:55:35Z,-33.37518800,147.94863700,1146.00,
138,,,,,2014-01-01T01:55:39Z,-33.37492500,147.94849800,1150.00,
139,,,,,2014-01-01T01:55:43Z,-33.37525000,147.94806100,1156.00,
140,,,,,2014-01-01T01:55:47Z,-33.37583100,147.94842400,1159.00,
141,,,,,2014-01-01T01:55:51Z,-33.37574700,147.94897400,1161.00,
142,,,,,2014-01-01T01:55:55Z,-33.37544900,147.94893700,1166.00,
143,,,,,2014-01-01T01:55:59Z,-33.37559200,147.94842500,1172.00,
144,,,,,2014-01-01T01:56:03Z,-33.37628700,147.94850600,1179.00,
145,,,,,2014-01-01T01:56:07Z,-33.37623600,147.94906600,1183.00,
146,,,,,2014-01-01T01:56:11Z,-33.37602800,147.94883300,1188.00,
147,,,,,2014-01-01T01:56:15Z,-33.37664100,147.94852300,1198.00,
148,,,,,2014-01-01T01:56:19Z,-33.37700300,147.94914200,1202.00,
149,,,,,2014-01-01T01:56:23Z,-33.37671400,147.94938500,1206.00,
150,,,,,2014-01-01T01:56:27Z,-33.37653900,147.94912900,1218.00,
151,,,,,2014-01-01T01:56:31Z,-33.37695200,147.94871900,1221.00,
152,,,,,2014-01-01T01:56:35Z,-33.37760800,147.94899400,1222.00,
153,,,,,2014-01-01T01:56:39Z,-33.37771100,147.94960500,1226.00,
154,,,,,2014-01-01T01:56:43Z,-33.37747000,147.94976200,1232.00,
155,,,,,2014-01-01T01:56:47Z,-33.37744100,147.94930800,1239.00,
156,,,,,2014-01-01T01:56:51Z,-33.37806000,147.94932200,1242.00,
157,,,,,2014-01-01T01:56:55Z,-33.37843600,147.95000900,1246.00,
158,,,,,2014-01-01T01:56:59Z,-33.37828100,147.95049700,1251.00,
159,,,,,2014-01-01T01:57:03Z,-33.37798300,147.95069700,1255.00,
160,,,,,2014-01-01T01:57:07Z,-33.37783800,147.95034500,1265.00,
161,,,,,2014-01-01T01:57:11Z,-33.37823800,147.95010300,1268.00,
162,,,,,2014-01-01T01:57:15Z,-33.37874700,147.95066300,1272.00,
163,,,,,2014-01-01T01:57:19Z,-33.37874400,147.95127600,1280.00,
164,,,,,2014-01-01T01:57:23Z,-33.37847200,147.95141800,1287.00,
165,,,,,2014-01-01T01:57:27Z,-33.37844600,147.95102200,1296.00,
166,,,,,2014-01-01T01:57:31Z,-33.37891700,147.95086800,1299.00,
167,,,,,2014-01-01T01:57:35Z,-33.37948900,147.95139800,1302.00,
168,,,,,2014-01-01T01:57:39Z,-33.37975400,147.95209500,1314.00,
169,,,,,2014-01-01T01:57:43Z,-33.37956200,147.95255500,1320.00,
170,,,,,2014-01-01T01:57:47Z,-33.37928800,147.95229900,1324.00,
171,,,,,2014-01-01T01:57:51Z,-33.37946800,147.95187300,1334.00,
172,,,,,2014-01-01T01:57:55Z,-33.38006100,147.95181500,1334.00,
173,,,,,2014-01-01T01:57:59Z,-33.38055900,147.95228700,1347.00,
174,,,,,2014-01-01T01:58:03Z,-33.38044800,147.95283100,1354.00,
175,,,,,2014-01-01T01:58:07Z,-33.38016000,147.95273200,1362.00,
176,,,,,2014-01-01T01:58:11Z,-33.38041000,147.95223300,1366.00,
177,,,,,2014-01-01T01:58:15Z,-33.38097900,147.95216100,1373.00,
178,,,,,2014-01-01T01:58:19Z,-33.38138500,147.95268800,1382.00,
179,,,,,2014-01-01T01:58:23Z,-33.38117600,147.95305800,1391.00,
180,,,,,2014-01-01T01:58:27Z,-33.38098400,147.95271100,1396.00,
181,,,,,2014-01-01T01:58:31Z,-33.38129800,147.95225300,1405.00,
182,,,,,2014-01-01T01:58:35Z,-33.38187400,147.95226900,1411.00,
183,,,,,2014-01-01T01:58:39Z,-33.38210800,147.95285600,1412.00,
184,,,,,2014-01-01T01:58:43Z,-33.38176600,147.95300300,1420.00,
185,,,,,2014-01-01T01:58:47Z,-33.38173400,147.95253200,1425.00,
186,,,,,2014-01-01T01:58:51Z,-33.38232300,147.95244900,1425.00,
187,,,,,2014-01-01T01:58:55Z,-33.38291500,147.95279000,1432.00,
188,,,,,2014-01-01T01:58:59Z,-33.38303600,147.95342400,1435.00,
189,,,,,2014-01-01T01:59:03Z,-33.38267300,147.95349400,1443.00,
190,,,,,2014-01-01T01:59:07Z,-33.38282800,147.95300500,1447.00,
191,,,,,2014-01-01T01:59:11Z,-33.38336300,147.95312400,1452.00,
192,,,,,2014-01-01T01:59:15Z,-33.38340000,147.95375000,1456.00,
193,,,,,2014-01-01T01:59:19Z,-33.38308400,147.95379100,1460.00,
194,,,,,2014-01-01T01:59:23Z,-33.38343300,147.95330400,1464.00,
195,,,,,2014-01-01T01:59:27Z,-33.38392800,147.95368000,1466.00,
196,,,,,2014-01-01T01:59:31Z,-33.38385300,147.95430100,1470.00,
197,,,,,2014-01-01T01:59:35Z,-33.38359800,147.95466400,1469.00,
198,,,,,2014-01-01T01:59:39Z,-33.38333200,147.95443300,1471.00,
199,,,,,2014-01-01T01:59:43Z,-33.38377500,147.95384000,1477.00,
200,,,,,2014-01-01T01:59:47Z,-33.38439000,147.95379200,1483.00,
201,,,,,2014-01-01T01:59:51Z,-33.38485000,147.95427300,1487.00,
202,,,,,2014-01-01T01:59:55Z,-33.38472900,147.95477100,1491.00,
203,,,,,2014-01-01T01:59:59Z,-33.38459700,147.95450100,1493.00,
204,,,,,2014-01-01T02:00:03Z,-33.38505900,147.95417100,1499.00,
205,,,,,2014-01-01T02:00:07Z,-33.38557700,147.95452800,1502.00,
206,,,,,2014-01-01T02:00:11Z,-33.38558900,147.95510700,1503.00,
207,,,,,2014-01-01T02:00:15Z,-33.38533600,147.95511700,1505.00,
208,,,,,2014-01-01T02:00:19Z,-33.38537900,147.95455600,1507.00,
209,,,,,2014-01-01T02:00:23Z,-33.38583700,147.95428200,1511.00,
210,,,,,2014-01-01T02:00:27Z,-33.38641600,147.95461100,1515.00,
211,,,,,2014-01-01T02:00:31Z,-33.38661600,147.95526700,1516.00,
212,,,,,2014-01-01T02:00:35Z,-33.38637600,147.95558500,1518.00,
213,,,,,2014-01-01T02:00:39Z,-33.38625100,147.95519700,1515.00,
214,,,,,2014-01-01T02:00:43Z,-33.38670600,147.95485600,1518.00,
215,,,,,2014-01-01T02:00:47Z,-33.38722700,147.95518700,1523.00,
216,,,,,2014-01-01T02:00:51Z,-33.38731200,147.95582800,1524.00,
217,,,,,2014-01-01T02:00:55Z,-33.38703300,147.95607800,1523.00,
218,,,,,2014-01-01T02:00:59Z,-33.38687200,147.95572300,1520.00,
219,,,,,2014-01-01T02:01:03Z,-33.38712900,147.95524500,1522.00,
220,,,,,2014-01-01T02:01:07Z,-33.38770700,147.95527100,1523.00,
221,,,,,2014-01-01T02:01:11Z,-33.38787800,147.95592100,1521.00,
222,,,,,2014-01-01T02:01:15Z,-33.38754400,147.95605000,1523.00,
223,,,,,2014-01-01T02:01:19Z,-33.38770000,147.95554200,1521.00,
224,,,,,2014-01-01T02:01:23Z,-33.38827500,147.95548100,1523.00,
225,,,,,2014-01-01T02:01:27Z,-33.38861300,147.95602600,1523.00,
226,,,,,2014-01-01T02:01:31Z,-33.38841000,147.95649000,1519.00,
227,,,,,2014-01-01T02:01:35Z,-33.38821400,147.95622500,1516.00,
228,,,,,2014-01-01T02:01:39Z,-33.38849200,147.95568000,1517.00,
229,,,,,2014-01-01T02:01:43Z,-33.38912400,147.95550100,1513.00,
230,,,,,2014-01-01T02:01:47Z,-33.38970500,147.95573800,1519.00,
231,,,,,2014-01-01T02:01:51Z,-33.39009700,147.95627100,1521.00,
232,,,,,2014-01-01T02:01:55Z,-33.39024400,147.95699600,1520.00,
233,,,,,2014-01-01T02:01:59Z,-33.39000100,147.95733500,1514.00,
234,,,,,2014-01-01T02:02:03Z,-33.38977000,147.95702500,1515.00,
235,,,,,2014-01-01T02:02:07Z,-33.39005100,147.95654000,1508.00,
236,,,,,2014-01-01T02:02:11Z,-33.39072300,147.95645100,1506.00,
237,,,,,2014-01-01T02:02:15Z,-33.39124100,147.95688600,1506.00,
238,,,,,2014-01-01T02:02:19Z,-33.39137600,147.95756300,1507.00,
239,,,,,2014-01-01T02:02:23Z,-33.39108900,147.95779500,1501.00,
240,,,,,2014-01-01T02:02:27Z,-33.39085100,147.95754800,1498.00,
241,,,,,2014-01-01T02:02:31Z,-33.39089200,147.95700000,1491.00,
242,,,,,2014-01-01T02:02:35Z,-33.39124600,147.95653700,1488.00,
243,,,,,2014-01-01T02:02:39Z,-33.39178500,147.95651000,1487.00,
244,,,,,2014-01-01T02:02:43Z,-33.39218900,147.95700800,1486.00,
245,,,,,2014-01-01T02:02:47Z,-33.39219600,147.95768200,1479.00,
246,,,,,2014-01-01T02:02:51Z,-33.39188000,147.95789900,1476.00,
247,,,,,2014-01-01T02:02:55Z,-33.39156000,147.95776100,1470.00,
248,,,,,2014-01-01T02:02:59Z,-33.39130000,147.95741700,1464.00,
249,,,,,2014-01-01T02:03:03Z,-33.39107900,147.95706000,1459.00,
250,,,,,2014-01-01T02:03:07Z,-33.39082400,147.95674900,1455.00,
251,,,,,2014-01-01T02:03:11Z,-33.39057400,147.95649900,1451.00,
252,,,,,2014-01-01T02:03:15Z,-33.39032100,147.95621900,1446.00,
253,,,,,2014-01-01T02:03:19Z,-33.39006800,147.95604800,1439.00,
