fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2014-01-03T02:45:31Z,-33.35630000,147.93321700,231.00,
2,,,,,2014-01-03T02:46:01Z,-33.35630000,147.93321700,231.00,
3,,,,,2014-01-03T02:46:31Z,-33.35630000,147.93321700,231.00,
4,,,,,2014-01-03T02:47:02Z,-33.35630000,147.93321700,231.00,
5,,,,,2014-01-03T02:47:32Z,-33.35630000,147.93321700,231.00,
6,,,,,2014-01-03T02:48:02Z,-33.35630000,147.93321700,231.00,
7,,,,,2014-01-03T02:48:32Z,-33.35630000,147.93321700,231.00,
8,,,,,2014-01-03T02:49:02Z,-33.35630000,147.93321700,231.00,
9,,,,,2014-01-03T02:49:32Z,-33.35630000,147.93321700,231.00,
10,,,,,2014-01-03T02:50:02Z,-33.35556700,147.93303300,235.00,
11,,,,,2014-01-03T02:50:32Z,-33.35096700,147.93273300,299.00,
12,,,,,2014-01-03T02:50:42Z,-33.34930000,147.93278300,320.00,
13,,,,,2014-01-03T02:50:52Z,-33.34760000,147.93288300,330.00,
14,,,,,2014-01-03T02:51:02Z,-33.34588300,147.93273300,345.00,
15,,,,,2014-01-03T02:51:12Z,-33.34418300,147.93208300,359.00,
16,,,,,2014-01-03T02:51:22Z,-33.34270000,147.93083300,380.00,
17,,,,,2014-01-03T02:51:32Z,-33.34145000,147.92903300,394.00,
18,,,,,2014-01-03T02:51:42Z,-33.34081700,147.92711700,422.00,
19,,,,,2014-01-03T02:51:52Z,-33.34081700,147.92520000,464.00,
20,,,,,2014-01-03T02:52:02Z,-33.34093300,147.92348300,493.00,
21,,,,,2014-01-03T02:52:13Z,-33.34135000,147.92176700,518.00,
22,,,,,2014-01-03T02:52:23Z,-33.34185000,147.92001700,552.00,
23,,,,,2014-01-03T02:52:33Z,-33.34275000,147.91863300,589.00,
24,,,,,2014-01-03T02:52:43Z,-33.34406700,147.91766700,620.00,
25,,,,,2014-01-03T02:52:53Z,-33.34548300,147.91670000,654.00,
26,,,,,2014-01-03T02:53:03Z,-33.34681700,147.91573300,673.00,
27,,,,,2014-01-03T02:53:13Z,-33.34820000,147.91466700,692.00,
28,,,,,2014-01-03T02:53:23Z,-33.34961700,147.91385000,714.00,
29,,,,,2014-01-03T02:53:33Z,-33.35100000,147.91306700,722.00,
30,,,,,2014-01-03T02:53:43Z,-33.35241700,147.91315000,758.00,
31,,,,,2014-01-03T02:53:53Z,-33.35393300,147.91356700,799.00,
32,,,,,2014-01-03T02:54:03Z,-33.35540000,147.91435000,846.00,
33,,,,,2014-01-03T02:54:13Z,-33.35668300,147.91541700,874.00,
34,,,,,2014-01-03T02:54:23Z,-33.35763300,147.91685000,904.00,
35,,,,,2014-01-03T02:54:33Z,-33.35793300,147.91846700,915.00,
36,,,,,2014-01-03T02:54:43Z,-33.35663300,147.91915000,894.00,
37,,,,,2014-01-03T02:54:53Z,-33.35573300,147.92040000,871.00,
38,,,,,2014-01-03T02:55:03Z,-33.35553300,147.92226700,842.00,
39,,,,,2014-01-03T02:55:13Z,-33.35536700,147.92410000,823.00,
40,,,,,2014-01-03T02:55:23Z,-33.35411700,147.92500000,807.00,
41,,,,,2014-01-03T02:55:33Z,-33.35255000,147.92453300,806.00,
42,,,,,2014-01-03T02:55:43Z,-33.35148300,147.92266700,800.00,
43,,,,,2014-01-03T02:55:53Z,-33.35066700,147.92113300,803.00,
44,,,,,2014-01-03T02:56:03Z,-33.34958300,147.91961700,799.00,
45,,,,,2014-01-03T02:56:13Z,-33.34923300,147.91800000,802.00,
46,,,,,2014-01-03T02:56:23Z,-33.35021700,147.91781700,788.00,
47,,,,,2014-01-03T02:56:33Z,-33.35050000,147.91940000,782.00,
48,,,,,2014-01-03T02:56:43Z,-33.34973300,147.92100000,771.00,
49,,,,,2014-01-03T02:56:53Z,-33.34910000,147.92273300,775.00,
50,,,,,2014-01-03T02:57:03Z,-33.34863300,147.92441700,784.00,
51,,,,,2014-01-03T02:57:13Z,-33.34725000,147.92475000,783.00,
52,,,,,2014-01-03T02:57:23Z,-33.34715000,147.92331700,776.00,
53,,,,,2014-01-03T02:57:33Z,-33.34853300,147.92338300,786.00,
54,,,,,2014-01-03T02:57:43Z,-33.34945000,147.92338300,811.00,
55,,,,,2014-01-03T02:57:53Z,-33.34831700,147.92310000,840.00,
56,,,,,2014-01-03T02:58:03Z,-33.34843300,147.92430000,851.00,
57,,,,,2014-01-03T02:58:14Z,-33.34903300,147.92353300,863.00,
58,,,,,2014-01-03T02:58:24Z,-33.34975000,147.92280000,880.00,
59,,,,,2014-01-03T02:58:34Z,-33.34890000,147.92150000,887.00,
60,,,,,2014-01-03T02:58:44Z,-33.34776700,147.92271700,891.00,
61,,,,,2014-01-03T02:58:54Z,-33.34803300,147.92290000,927.00,
62,,,,,2014-01-03T02:59:04Z,-33.34736700,147.92361700,957.00,
63,,,,,2014-01-03T02:59:14Z,-33.34721700,147.92296700,987.00,
64,,,,,2014-01-03T02:59:24Z,-33.34665000,147.92421700,1010.00,
65,,,,,2014-01-03T02:59:34Z,-33.34758300,147.92396700,1026.00,
66,,,,,2014-01-03T02:59:44Z,-33.34766700,147.92258300,1050.00,
