fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2014-01-03T01:54:22Z,-33.35721700,147.93440000,357.00,
2,,,,,2014-01-03T01:54:27Z,-33.35623300,147.93441700,357.00,
3,,,,,2014-01-03T01:54:32Z,-33.35630000,147.93425000,357.00,
4,,,,,2014-01-03T01:54:37Z,-33.35626700,147.93418300,357.00,
5,,,,,2014-01-03T01:54:42Z,-33.35625000,147.93416700,357.00,
6,,,,,2014-01-03T01:54:47Z,-33.35626700,147.93415000,357.00,
7,,,,,2014-01-03T01:54:52Z,-33.35631700,147.93403300,358.00,
8,,,,,2014-01-03T01:54:57Z,-33.35633300,147.93403300,345.00,
9,,,,,2014-01-03T01:55:02Z,-33.35633300,147.93403300,327.00,
10,,,,,2014-01-03T01:55:07Z,-33.35633300,147.93403300,311.00,
11,,,,,2014-01-03T01:55:12Z,-33.35633300,147.93403300,298.00,
12,,,,,2014-01-03T01:55:17Z,-33.35633300,147.93403300,287.00,
13,,,,,2014-01-03T01:55:22Z,-33.35633300,147.93403300,278.00,
14,,,,,2014-01-03T01:55:27Z,-33.35633300,147.93403300,271.00,
15,,,,,2014-01-03T01:55:32Z,-33.35633300,147.93403300,264.00,
16,,,,,2014-01-03T01:55:37Z,-33.35633300,147.93403300,259.00,
17,,,,,2014-01-03T01:55:42Z,-33.35633300,147.93403300,254.00,
18,,,,,2014-01-03T01:55:47Z,-33.35633300,147.93403300,250.00,
19,,,,,2014-01-03T01:55:52Z,-33.35633300,147.93403300,247.00,
20,,,,,2014-01-03T01:55:57Z,-33.35633300,147.93403300,244.00,
21,,,,,2014-01-03T01:56:02Z,-33.35633300,147.93403300,242.00,
22,,,,,2014-01-03T01:56:07Z,-33.35633300,147.93403300,240.00,
23,,,,,2014-01-03T01:56:12Z,-33.35633300,147.93403300,239.00,
24,,,,,2014-01-03T01:56:17Z,-33.35633300,147.93403300,237.00,
25,,,,,2014-01-03T01:56:22Z,-33.35633300,147.93403300,236.00,
26,,,,,2014-01-03T01:56:27Z,-33.35633300,147.93403300,235.00,
27,,,,,2014-01-03T01:56:32Z,-33.35633300,147.93403300,234.00,
28,,,,,2014-01-03T01:56:37Z,-33.35633300,147.93403300,233.00,
29,,,,,2014-01-03T01:56:42Z,-33.35633300,147.93403300,232.00,
30,,,,,2014-01-03T01:56:47Z,-33.35633300,147.93403300,232.00,
31,,,,,2014-01-03T01:56:52Z,-33.35633300,147.93403300,232.00,
32,,,,,2014-01-03T01:56:57Z,-33.35633300,147.93403300,231.00,
33,,,,,2014-01-03T01:57:02Z,-33.35633300,147.93403300,231.00,
34,,,,,2014-01-03T01:57:07Z,-33.35633300,147.93403300,231.00,
35,,,,,2014-01-03T01:57:12Z,-33.35633300,147.93403300,231.00,
36,,,,,2014-01-03T01:57:17Z,-33.35633300,147.93403300,231.00,
37,,,,,2014-01-03T01:57:22Z,-33.35633300,147.93403300,231.00,
38,,,,,2014-01-03T01:57:27Z,-33.35633300,147.93403300,231.00,
39,,,,,2014-01-03T01:57:32Z,-33.35633300,147.93403300,231.00,
40,,,,,2014-01-03T01:57:37Z,-33.35633300,147.93403300,231.00,
41,,,,,2014-01-03T01:57:42Z,-33.35633300,147.93403300,231.00,
42,,,,,2014-01-03T01:57:47Z,-33.35633300,147.93403300,231.00,
43,,,,,2014-01-03T01:57:52Z,-33.35633300,147.93403300,231.00,
44,,,,,2014-01-03T01:57:57Z,-33.35633300,147.93403300,231.00,
45,,,,,2014-01-03T01:58:02Z,-33.35633300,147.93403300,231.00,
